KW,LO IN TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
314,62,35.0,104,521,372,4.9,8.0,1.9,1.6,3.0,20.42,405.6666666666667
352,61,35.0,105,521,371,4.9,8.1,1.9,1.6,2.9,21.56,403.8333333333333
312,62,34.0,106,523,381,4.9,8.1,1.9,1.6,3.0,20.36,406.1666666666667
312,62,35.0,103,523,374,4.9,7.9,1.9,1.4,5.1,20.36,340.5
312,61,34.0,103,523,373,4.9,7.9,1.9,1.4,5.1,20.36,393.6666666666667
313,61,35.0,104,521,381,4.9,7.9,1.9,1.4,5.1,20.39,395.5
304,61,34.0,105,517,379,5.1,7.8,1.9,1.3,3.9,20.12,393.5
305,61,34.0,105,518,379,5.0,7.7,1.9,1.3,3.9,20.15,394.0
313,61,34.0,106,523,379,5.0,7.5,1.9,1.3,3.9,20.39,399.3333333333333
182,60,34.0,102,458,406,4.9,6.7,1.9,0.5,4.0,16.46,385.5
161,62,34.0,103,492,442,5.1,7.3,1.9,0.5,5.6,15.83,392.3333333333333
151,62,33.0,103,489,401,4.63,7.6,3.2,0.5,2.7,15.53,372.8333333333333
171,62,33.0,104,469,458,3.7,8.1,3.3,0.5,2.7,16.13,378.3333333333333
343,62,33.0,104,509,394,4.8,7.9,1.9,1.4,5.6,21.29,399.5
181,60,33.0,102,483,393,3.9,7.6,1.9,0.7,2.3,16.43,377.6666666666667
180,61,33.0,103,475,430,5.0,8.3,1.9,0.5,2.9,16.4,384.0
167,57,35.0,104,405,304,5.6,7.7,1.9,0.4,3.6,16.01,396.8333333333333
153,61,34.0,105,487,432,4.9,8.3,1.9,0.5,2.9,15.59,387.1666666666667
166,60,33.0,104,490,403,4.8,7.5,3.2,0.4,2.7,15.98,373.6666666666667
143,61,33.0,104,489,403,5.2,8.1,3.3,0.7,2.7,15.29,386.6666666666667
170,60,33.0,104,449,401,4.8,7.5,2.2,0.6,2.7,16.1,373.5
172,61,33.0,105,480,431,5.1,8.2,3.3,0.5,3.1,16.16,375.8333333333333
164,61,32.0,103,441,398,4.3,7.7,1.9,0.5,2.2,15.92,376.6666666666667
141,61,33.0,104,446,427,4.7,8.2,1.9,0.5,3.1,15.23,377.0
158,60,33.0,104,447,399,3.9,7.7,1.9,0.5,2.2,15.74,377.5
160,61,33.0,105,447,430,5.1,8.2,1.9,0.5,3.1,15.8,380.5
396,60,36.0,99,495,361,5.3,6.7,1.9,1.8,3.0,22.88,409.1666666666667
358,60,34.0,100,508,369,5.3,6.7,1.9,1.8,3.0,21.74,387.0
401,60,35.0,99,491,364,5.3,6.7,1.9,1.8,3.0,23.03,389.8333333333333
328,60,34.0,99,514,369,5.2,6.7,3.1,1.6,2.9,20.84,387.8333333333333
224,60,33.0,101,473,398,5.3,6.6,1.9,0.8,3.0,17.72,390.5
226,60,33.0,102,509,432,4.9,7.2,1.8,0.8,2.7,17.78,404.6666666666667
228,60,33.0,86,469,397,5.2,6.8,1.9,0.9,2.9,17.84,389.8333333333333
227,62,33.0,87,484,428,4.2,7.6,1.9,0.7,2.3,17.81,398.0
338,60,33.0,86,469,397,5.2,6.8,1.9,0.9,2.9,21.14,389.8333333333333
227,62,33.0,87,501,428,5.2,7.6,1.9,0.7,2.3,17.81,398.0
277,60,33.0,56,492,351,5.8,7.7,3.2,1.2,2.8,19.31,386.3333333333333
288,62,33.0,86,493,419,4.5,8.5,3.4,1.0,2.8,19.64,402.5
246,60,33.0,93,467,389,5.1,7.6,1.9,0.9,2.9,18.38,380.3333333333333
244,61,33.0,94,507,425,5.1,8.0,1.9,0.9,2.8,18.32,401.5
185,60,32.0,101,453,399,5.1,7.7,1.9,0.7,2.2,16.55,395.0
242,60,30.0,79,465,395,4.6,8.4,1.9,0.8,2.7,18.26,388.5
272,61,30.0,80,514,439,5.0,7.6,1.9,0.8,2.8,19.16,424.5
242,60,33.0,79,465,394,4.6,7.4,1.9,0.8,2.6,18.26,388.8333333333333
394,60,35.0,76,495,361,4.2,6.9,1.9,1.7,2.4,22.82,392.6666666666667
229,61,33.0,79,468,394,4.3,6.8,1.9,0.8,2.5,17.87,385.0
320,62,33.0,80,518,436,5.0,7.4,1.9,0.8,2.8,20.6,411.0
364,60,35.0,84,495,346,5.1,6.7,1.9,1.6,2.8,21.92,399.5
402,60,36.0,86,487,356,4.2,6.5,1.9,1.9,2.4,23.06,388.5
335,60,35.0,95,486,368,4.9,7.3,1.9,0.4,2.8,21.05,384.0
173,61,33.0,94,404,406,5.1,7.6,1.9,0.6,2.9,16.19,385.1666666666667
170,61,33.0,94,481,435,5.1,8.2,1.9,0.5,3.0,16.1,394.5
353,60,35.0,94,400,359,4.9,7.4,1.9,1.5,2.8,21.59,379.8333333333333
182,60,33.0,95,478,402,5.0,7.3,1.9,0.4,3.0,16.46,380.5
177,61,33.0,96,477,432,4.7,8.0,1.9,0.6,2.7,16.31,398.1666666666667
266,59,33.0,94,466,374,4.9,7.9,1.9,1.2,2.8,18.98,347.1666666666667
194,61,32.0,95,466,426,5.1,8.1,1.8,0.8,2.8,16.82,396.1666666666667
192,60,33.0,91,459,396,4.9,7.5,1.9,0.7,2.8,16.76,381.8333333333333
197,61,33.0,92,500,431,5.2,8.3,1.9,0.6,3.0,16.91,397.8333333333333
264,60,33.0,85,466,391,4.7,7.7,1.9,0.6,2.7,18.92,385.6666666666667
286,62,33.0,87,479,413,3.6,8.3,2.0,0.8,2.0,19.58,365.6666666666667
191,60,33.0,91,480,394,4.8,7.5,1.9,0.8,2.7,16.73,368.8333333333333
187,61,33.0,92,483,431,5.1,8.2,1.9,0.5,3.0,16.61,380.3333333333333
238,60,33.0,96,477,382,4.6,7.9,1.9,0.9,2.6,18.14,377.0
224,61,33.0,98,489,425,4.0,8.5,1.9,0.8,2.7,17.72,400.6666666666667
244,60,33.0,91,470,382,4.8,7.6,1.9,0.9,2.7,18.32,359.5
281,61,33.0,92,483,438,5.2,8.2,1.9,0.6,3.0,19.43,422.6666666666667
164,60,33.0,90,486,389,4.8,7.4,1.9,0.7,2.7,15.92,374.6666666666667
157,61,33.0,91,483,433,5.1,8.2,1.9,0.5,3.0,15.71,400.0
175,60,33.0,94,439,394,4.7,7.6,1.9,0.4,2.8,16.25,382.6666666666667
168,61,33.0,98,447,431,4.7,8.4,1.9,0.5,2.1,16.04,385.6666666666667
168,60,33.0,96,439,396,4.7,7.6,1.9,0.5,2.8,16.04,372.1666666666667
168,61,33.0,98,486,431,4.7,8.3,1.9,0.5,3.1,16.04,387.3333333333333
182,60,33.0,94,436,396,4.7,7.7,1.9,0.5,2.8,16.46,369.1666666666667
162,61,33.0,96,474,431,5.1,8.4,1.9,0.5,3.1,15.86,385.5
182,60,33.0,94,436,396,4.71,7.7,1.9,0.5,2.8,16.46,372.0
169,61,33.0,96,483,431,5.1,8.4,1.9,0.5,3.1,16.07,385.3333333333333
337,60,35.0,96,494,356,6.1,6.8,1.8,1.7,2.4,21.11,408.3333333333333
222,60,33.0,94,483,391,4.6,7.1,1.9,0.8,2.5,17.66,378.8333333333333
217,61,33.0,96,497,434,4.9,8.2,2.0,0.7,2.7,17.51,404.6666666666667
350,61,33.0,95,492,356,4.4,6.9,1.9,1.7,2.5,21.5,378.6666666666667
225,60,33.0,96,486,390,4.4,7.4,1.9,0.8,2.5,17.75,382.3333333333333
228,61,33.0,98,498,432,4.9,7.8,1.9,0.8,2.7,17.84,405.6666666666667
225,60,33.0,98,481,397,4.2,7.8,1.9,0.7,2.4,17.75,381.5
225,59,31.0,160,449,419,4.7,8.5,1.9,0.7,3.0,17.75,399.6666666666667
185,60,33.0,101,491,409,5.5,7.5,1.9,0.5,3.3,16.55,383.8333333333333
174,61,33.0,102,483,438,4.5,8.3,1.9,0.5,3.3,16.22,395.3333333333333
167,60,32.0,98,475,400,4.1,7.8,1.9,0.6,2.4,16.01,374.3333333333333
174,61,32.0,98,474,401,4.6,8.1,1.9,0.6,3.0,16.22,387.0
330,60,36.0,101,512,367,5.5,7.5,1.9,1.7,3.0,20.9,389.1666666666667
235,60,34.0,100,509,374,5.6,7.5,1.9,1.7,3.0,18.05,382.5
241,61,33.0,101,500,401,4.3,7.6,1.9,1.9,2.8,18.23,385.0
175,60,33.0,101,486,409,5.5,6.6,1.8,0.5,3.3,16.25,384.8333333333333
167,62,33.0,102,490,442,4.4,7.2,1.9,0.5,2.5,16.01,396.1666666666667
344,61,33.0,101,499,394,5.4,7.3,1.5,1.9,3.0,21.32,389.5
186,60,33.0,101,504,408,5.5,6.5,1.8,0.6,3.2,16.58,384.5
181,62,33.0,102,404,441,4.3,7.4,1.8,0.6,2.5,16.43,398.5
168,60,33.0,102,489,409,5.6,7.3,1.9,0.5,3.3,16.04,382.0
172,61,33.0,104,491,445,5.1,7.5,1.9,0.5,3.1,16.16,405.3333333333333
169,61,33.0,103,488,409,5.6,7.3,1.9,0.5,3.3,16.07,377.6666666666667
182,61,33.0,103,491,446,5.1,7.5,1.9,0.5,3.1,16.46,401.0
161,60,33.0,103,487,409,5.6,7.3,1.9,0.5,3.3,15.83,380.8333333333333
153,61,33.0,104,490,443,5.1,7.5,1.9,0.5,3.1,15.59,392.6666666666667
234,60,33.0,102,499,398,5.5,7.6,1.9,0.8,3.1,18.02,393.1666666666667
221,61,33.0,104,498,433,4.9,8.2,1.9,0.8,2.7,17.63,406.6666666666667
158,57,33.0,103,481,407,5.6,7.4,3.3,0.5,3.4,15.74,377.1666666666667
196,60,33.0,104,481,363,5.1,8.2,3.3,0.5,3.0,16.88,386.1666666666667
301,60,33.0,99,474,405,5.5,6.8,1.8,0.8,3.1,20.03,390.8333333333333
393,60,35.0,98,504,340,5.9,6.4,1.8,1.8,3.0,22.79,393.8333333333333
234,60,34.0,99,493,399,5.5,6.7,1.9,0.8,3.1,18.02,390.3333333333333
235,62,33.0,101,500,435,4.9,7.3,1.9,0.8,2.7,18.05,407.3333333333333
367,60,36.0,100,509,360,5.4,6.6,1.9,1.8,3.0,22.01,395.5
199,60,33.0,103,495,440,4.6,7.3,1.9,0.6,2.6,16.97,401.6666666666667
193,60,33.0,101,489,406,5.5,6.9,1.8,0.6,3.2,16.79,385.6666666666667
335,60,35.0,101,498,365,5.4,6.7,3.1,1.5,3.0,21.05,364.8333333333333
376,60,35.0,99,498,341,5.4,6.6,1.9,1.7,3.0,22.28,387.1666666666667
222,60,33.0,103,485,397,5.5,7.5,1.9,0.8,3.1,17.66,385.6666666666667
232,61,33.0,105,491,431,4.9,8.2,1.9,0.7,2.7,17.96,404.1666666666667
228,52,52.0,102,487,392,5.5,7.6,1.9,0.9,3.1,17.84,385.0
227,52,33.0,103,493,407,5.2,8.4,3.2,0.8,2.8,17.81,452.6666666666667
155,60,33.0,103,475,405,5.5,7.7,1.9,0.5,3.3,15.65,377.6666666666667
146,61,30.0,105,474,432,5.1,8.4,1.9,0.4,3.1,15.38,381.8333333333333
380,60,35.0,97,498,358,5.4,6.6,2.3,1.5,3.0,22.4,384.5
380,60,35.0,98,495,344,5.4,6.6,1.9,1.7,3.0,22.4,388.6666666666667
350,60,35.0,99,498,364,5.4,6.6,1.9,1.5,3.0,21.5,388.6666666666667
195,59,33.0,103,481,405,5.5,6.7,1.9,0.6,3.2,16.85,383.0
188,62,33.0,104,486,343,4.1,7.6,2.0,0.6,2.3,16.64,395.8333333333333
353,60,35.0,102,508,369,5.4,6.4,3.3,1.5,3.0,21.59,392.0
418,60,36.0,102,510,365,5.3,6.4,1.9,1.8,3.0,23.54,397.8333333333333
