EXHAUST TEMP 1,EXHAUST TEMP 2,EXHAUST TEMP 3,EXHAUST TEMP 4,EXHAUST TEMP 5,EXHAUST TEMP 6,KW,AMP,FREQ,LO IN TEMP,CPW IN TEMP,CPW OUT TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
395.0,375,402,423,395.0,444.0,314,567,60,62,32,46,35.0,104,521,372,4.9,8.0,1.9,1.6,3.0,20.42,405.6666666666667
386.0,375,401,423,395.0,443.0,352,567,60,61,32,47,35.0,105,521,371,4.9,8.1,1.9,1.6,2.9,21.56,403.8333333333333
390.0,388,400,415,399.0,445.0,312,541,60,62,32,49,34.0,106,523,381,4.9,8.1,1.9,1.6,3.0,20.36,406.1666666666667
355.0,69,410,410,367.0,432.0,312,516,60,62,32,47,35.0,103,523,374,4.9,7.9,1.9,1.4,5.1,20.36,340.5
380.0,365,410,410,366.0,431.0,312,511,60,61,32,47,34.0,103,523,373,4.9,7.9,1.9,1.4,5.1,20.36,393.6666666666667
385.0,375,405,411,371.0,426.0,313,510,60,61,32,49,35.0,104,521,381,4.9,7.9,1.9,1.4,5.1,20.39,395.5
393.0,374,382,410,370.0,432.0,304,481,60,61,32,74,34.0,105,517,379,5.1,7.8,1.9,1.3,3.9,20.12,393.5
393.0,374,381,415,369.0,432.0,305,499,60,61,32,48,34.0,105,518,379,5.0,7.7,1.9,1.3,3.9,20.15,394.0
394.0,381,391,423,372.0,435.0,313,507,60,61,32,47,34.0,106,523,379,5.0,7.5,1.9,1.3,3.9,20.39,399.3333333333333
389.0,361,387,393,377.0,406.0,182,245,60,60,32,47,34.0,102,458,406,4.9,6.7,1.9,0.5,4.0,16.46,385.5
408.0,407,400,372,377.0,390.0,161,347,60,62,33,35,34.0,103,492,442,5.1,7.3,1.9,0.5,5.6,15.83,392.3333333333333
389.0,357,329,389,374.0,399.0,151,312,60,62,52,58,33.0,103,489,401,4.63,7.6,3.2,0.5,2.7,15.53,372.8333333333333
399.0,386,384,354,370.0,377.0,171,230,60,62,52,58,33.0,104,469,458,3.7,8.1,3.3,0.5,2.7,16.13,378.3333333333333
397.0,406,390,394,388.0,422.0,343,554,60,62,32,37,33.0,104,509,394,4.8,7.9,1.9,1.4,5.6,21.29,399.5
389.0,389,361,344,386.0,397.0,181,299,60,60,32,44,33.0,102,483,393,3.9,7.6,1.9,0.7,2.3,16.43,377.6666666666667
398.0,394,385,382,374.0,371.0,180,287,60,61,35,46,33.0,103,475,430,5.0,8.3,1.9,0.5,2.9,16.4,384.0
411.0,390,355,413,393.0,419.0,167,247,60,57,32,44,35.0,104,405,304,5.6,7.7,1.9,0.4,3.6,16.01,396.8333333333333
403.0,391,394,365,376.0,394.0,153,297,60,61,32,35,34.0,105,487,432,4.9,8.3,1.9,0.5,2.9,15.59,387.1666666666667
379.0,366,346,385,367.0,399.0,166,233,60,60,35,53,33.0,104,490,403,4.8,7.5,3.2,0.4,2.7,15.98,373.6666666666667
414.0,394,382,384,365.0,381.0,143,299,60,61,33,54,33.0,104,489,403,5.2,8.1,3.3,0.7,2.7,15.29,386.6666666666667
380.0,370,350,375,365.0,401.0,170,234,60,60,33,46,33.0,104,449,401,4.8,7.5,2.2,0.6,2.7,16.1,373.5
