iter	Passed	Remaining
0	133	66543
1	135	33626
2	136	22537
3	137	16988
4	138	13665
5	139	11444
6	140	9868
7	141	8675
8	142	7770
9	143	7027
10	144	6408
11	144	5890
12	145	5452
13	146	5077
14	147	4754
15	147	4470
16	148	4218
17	149	3994
18	149	3793
19	150	3614
20	151	3451
21	152	3303
22	152	3168
23	153	3043
24	154	2930
25	155	2826
26	155	2728
27	156	2637
28	157	2552
29	157	2475
30	158	2402
31	159	2332
32	160	2269
33	161	2208
34	161	2149
35	162	2094
36	163	2043
37	164	1994
38	164	1948
39	165	1903
40	166	1862
41	167	1821
42	167	1784
43	168	1747
44	169	1711
45	170	1678
46	170	1645
47	171	1614
48	172	1585
49	173	1557
50	173	1529
51	174	1503
52	175	1477
53	176	1454
54	176	1430
55	177	1406
56	178	1383
57	178	1361
58	179	1341
59	180	1322
60	181	1302
61	181	1284
62	182	1265
63	183	1248
64	183	1231
65	184	1214
66	185	1198
67	186	1183
68	187	1168
69	187	1153
70	188	1138
71	189	1124
72	190	1111
73	190	1098
74	191	1085
75	192	1072
76	193	1060
77	193	1048
78	194	1037
79	195	1025
80	196	1014
81	196	1002
82	197	991
83	198	981
84	198	971
85	199	961
86	200	951
87	201	942
88	202	933
89	202	923
90	203	914
91	204	905
92	205	897
93	205	888
94	206	879
95	207	871
96	207	863
97	208	856
98	209	849
99	210	841
100	211	833
101	211	826
102	212	819
103	213	812
104	214	805
105	214	798
106	215	791
107	216	784
108	216	777
109	217	770
110	218	764
111	219	759
112	219	752
113	220	745
114	221	740
115	221	734
116	222	728
117	223	722
118	223	716
119	224	710
120	225	705
121	225	699
122	226	694
123	227	689
124	227	683
125	228	678
126	229	673
127	230	668
128	230	663
129	231	659
130	232	654
131	233	650
132	234	645
133	234	641
134	235	636
135	236	632
136	236	627
137	237	623
138	238	618
139	239	614
140	239	610
141	240	606
142	241	602
143	242	598
144	242	594
145	243	590
146	244	586
147	244	582
148	245	578
149	246	574
150	247	571
151	247	567
152	248	563
153	249	560
154	249	556
155	250	552
156	251	549
157	252	546
158	252	542
159	253	539
160	254	535
161	255	532
162	256	529
163	256	525
164	257	522
165	258	519
166	259	516
167	259	513
168	260	510
169	261	506
170	261	503
171	262	500
172	263	497
173	264	494
174	264	491
175	265	489
176	266	486
177	267	483
178	268	480
179	268	477
180	269	475
181	270	472
182	271	469
183	271	466
184	272	464
185	273	461
186	273	458
187	274	455
188	275	453
189	275	450
190	276	447
191	277	445
192	278	442
193	279	440
194	280	438
195	280	435
196	281	433
197	282	430
198	283	428
199	284	426
200	284	423
201	285	421
202	286	418
203	286	416
204	287	414
205	288	411
206	289	409
207	289	406
208	290	404
209	291	402
210	292	400
211	292	397
212	293	395
213	294	393
214	295	391
215	295	388
216	296	386
217	297	384
218	298	382
219	298	380
220	299	378
221	300	376
222	301	374
223	301	371
224	302	369
225	310	376
226	311	374
227	312	372
228	312	370
229	313	368
230	314	366
231	315	364
232	316	362
233	317	360
234	317	358
235	318	356
236	319	354
237	319	352
238	320	350
239	321	348
240	322	346
241	323	344
242	323	342
243	324	340
244	325	338
245	326	336
246	326	334
247	327	332
248	328	330
249	329	329
250	329	327
251	330	325
252	331	323
253	332	321
254	332	319
255	333	317
256	334	316
257	334	314
258	335	312
259	336	310
260	337	308
261	337	306
262	338	305
263	339	303
264	340	301
265	340	299
266	341	298
267	342	296
268	343	294
269	343	293
270	344	291
271	345	289
272	345	287
273	346	285
274	347	284
275	348	282
276	348	280
277	349	279
278	350	277
279	351	275
280	351	274
281	352	272
282	353	270
283	354	269
284	354	267
285	355	266
286	356	264
287	357	262
288	357	261
289	358	259
290	359	257
291	359	256
292	360	254
293	361	253
294	362	251
295	362	250
296	363	248
297	364	246
298	365	245
299	365	243
300	366	242
301	367	240
302	368	239
303	368	237
304	369	236
305	370	234
306	371	233
307	371	231
308	372	230
309	373	228
310	373	227
311	374	225
312	375	224
313	376	222
314	376	221
315	377	219
316	378	218
317	378	216
318	379	215
319	380	213
320	381	212
321	381	211
322	382	209
323	383	208
324	383	206
325	384	205
326	385	203
327	386	202
328	386	201
329	387	199
330	388	198
331	389	196
332	389	195
333	390	194
334	391	192
335	391	191
336	392	189
337	393	188
338	393	187
339	394	185
340	395	184
341	396	183
342	397	181
343	397	180
344	398	179
345	399	177
346	400	176
347	400	175
348	401	173
349	402	172
350	403	171
351	403	169
352	404	168
353	405	167
354	406	165
355	407	164
356	407	163
357	408	162
358	409	160
359	409	159
360	410	158
361	411	156
362	412	155
363	412	154
364	413	152
365	414	151
366	415	150
367	415	149
368	416	147
369	417	146
370	417	145
371	418	144
372	419	142
373	420	141
374	420	140
375	421	139
376	422	137
377	422	136
378	423	135
379	424	134
380	425	132
381	425	131
382	426	130
383	427	129
384	428	127
385	428	126
386	429	125
387	430	124
388	430	122
389	431	121
390	432	120
391	433	119
392	433	118
393	434	116
394	435	115
395	436	114
396	436	113
397	437	112
398	438	110
399	439	109
400	439	108
401	440	107
402	441	106
403	442	105
404	443	103
405	443	102
406	444	101
407	445	100
408	446	99
409	446	98
410	447	96
411	448	95
412	449	94
413	449	93
414	450	92
415	451	91
416	452	89
417	452	88
418	453	87
419	454	86
420	455	85
421	455	84
422	456	83
423	457	81
424	458	80
425	459	79
426	459	78
427	460	77
428	461	76
429	461	75
430	462	74
431	463	72
432	463	71
433	464	70
434	465	69
435	466	68
436	467	67
437	467	66
438	468	65
439	469	63
440	470	62
441	470	61
442	471	60
443	472	59
444	473	58
445	474	57
446	474	56
447	475	55
448	476	54
449	477	53
450	477	51
451	478	50
452	479	49
453	480	48
454	481	47
455	481	46
456	482	45
457	483	44
458	483	43
459	484	42
460	485	41
461	486	39
462	486	38
463	487	37
464	488	36
465	488	35
466	489	34
467	490	33
468	491	32
469	491	31
470	492	30
471	493	29
472	494	28
473	495	27
474	495	26
475	496	25
476	497	23
477	497	22
478	498	21
479	499	20
480	500	19
481	500	18
482	501	17
483	502	16
484	502	15
485	503	14
486	504	13
487	505	12
488	505	11
489	506	10
490	507	9
491	507	8
492	508	7
493	509	6
494	510	5
495	510	4
496	511	3
497	512	2
498	513	1
499	513	0
